
2021/10/03 (15:06:47) | ===> btop++ v.1.0.13
2021/10/03 (15:06:47) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2021/10/03 (15:06:57) | ===> btop++ v.1.0.13
2021/10/03 (15:06:57) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2021/10/03 (15:06:57) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/10/03 (15:09:31) | ===> btop++ v.1.0.13
2021/10/03 (15:09:31) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2021/10/03 (15:09:31) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/10/03 (19:04:41) | ===> btop++ v.1.0.13
2021/10/03 (19:04:41) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2021/10/03 (19:04:41) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2021/11/16 (19:01:43) | ===> btop++ v.1.1.0
2021/11/16 (19:01:43) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2021/11/17 (00:04:46) | ===> btop++ v.1.1.0
2021/11/17 (00:04:46) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2021/11/20 (21:25:43) | ===> btop++ v.1.1.0
2021/11/20 (21:25:43) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2021/12/18 (16:40:42) | ===> btop++ v.1.1.3
2021/12/18 (16:40:42) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2021/12/18 (18:21:31) | ===> btop++ v.1.1.3
2021/12/18 (18:21:31) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2021/12/27 (23:48:30) | ===> btop++ v.1.1.3
2021/12/27 (23:48:30) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2021/12/28 (21:12:07) | ===> btop++ v.1.1.3
2021/12/28 (21:12:07) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2021/12/28 (23:58:39) | ===> btop++ v.1.1.3
2021/12/28 (23:58:39) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2021/12/30 (14:40:29) | ===> btop++ v.1.1.4
2021/12/30 (14:40:29) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2021/12/30 (14:42:18) | ===> btop++ v.1.1.4
2021/12/30 (14:42:18) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2021/12/30 (14:44:49) | ===> btop++ v.1.1.4
2021/12/30 (14:44:49) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/01/27 (03:05:45) | ===> btop++ v.1.2.0
2022/01/27 (03:05:45) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/02/04 (18:47:14) | ===> btop++ v.1.2.0
2022/02/04 (18:47:14) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/02/04 (20:13:33) | ===> btop++ v.1.2.0
2022/02/04 (20:13:33) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/02/05 (01:25:16) | ===> btop++ v.1.2.0
2022/02/05 (01:25:16) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/02/05 (12:43:08) | ===> btop++ v.1.2.0
2022/02/05 (12:43:08) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/02/06 (02:57:49) | ===> btop++ v.1.2.0
